step2_framework,kantian_deontology,benthamite_act_utilitarianism,aristotelian_virtue_ethics,scanlonian_contractualism,gauthierian_contractarianism
kantian_deontology,0.4660633484162896,0.3438914027149321,0.06787330316742081,0.11990950226244344,0.0022624434389140274
benthamite_act_utilitarianism,0.2468354430379747,0.5854430379746836,0.056962025316455694,0.11075949367088607,0.0
aristotelian_virtue_ethics,0.2601626016260163,0.44715447154471544,0.2032520325203252,0.08943089430894309,0.0
scanlonian_contractualism,0.27071823204419887,0.40331491712707185,0.10497237569060773,0.2154696132596685,0.0055248618784530384
gauthierian_contractarianism,0.21428571428571427,0.5,0.14285714285714285,0.07142857142857142,0.07142857142857142
