from,kantian_deontology,benthamite_act_utilitarianism,aristotelian_virtue_ethics,scanlonian_contractualism,gauthierian_contractarianism
kantian_deontology,0.43270189431704886,0.26520438683948155,0.17148554336989033,0.12362911266201396,0.006979062811565304
benthamite_act_utilitarianism,0.2154255319148936,0.499113475177305,0.2047872340425532,0.07446808510638298,0.0062056737588652485
aristotelian_virtue_ethics,0.12150537634408602,0.2838709677419355,0.46021505376344085,0.12688172043010754,0.007526881720430108
scanlonian_contractualism,0.24,0.234,0.236,0.264,0.026
gauthierian_contractarianism,0.07692307692307693,0.46153846153846156,0.1282051282051282,0.2564102564102564,0.07692307692307693
