model,n_points,pearson_r,p_value,mean_morality,mean_accuracy
gpt-4o,7,0.2758673717392414,0.5492881899315155,85.71108295788987,67.09579672608467
gpt-5,10,0.2080721519385133,0.5640411755280148,84.49223838843903,57.06097615834458
o3-mini,7,0.4782854524942124,0.2776285296987322,86.00790590213714,65.93538600109034
gpt-4o-mini,5,0.384262044160154,0.52306462659939,83.531538374235,56.52523506456091
gpt-5-mini,6,0.3122961895479192,0.5467846691609624,86.69316207312745,63.71952681714955
o4-mini,6,0.21493297930000527,0.6825650729506529,84.00623492266213,64.85738612175393
