from,kantian_deontology,benthamite_act_utilitarianism,aristotelian_virtue_ethics,scanlonian_contractualism,gauthierian_contractarianism
kantian_deontology,0.42044444444444445,0.27111111111111114,0.1768888888888889,0.11644444444444445,0.015111111111111112
benthamite_act_utilitarianism,0.17894736842105263,0.5716599190283401,0.15708502024291499,0.07692307692307693,0.015384615384615385
aristotelian_virtue_ethics,0.14206128133704735,0.33008356545961004,0.403899721448468,0.11142061281337047,0.012534818941504178
scanlonian_contractualism,0.24724061810154527,0.25386313465783666,0.18101545253863136,0.2891832229580574,0.02869757174392936
gauthierian_contractarianism,0.13333333333333333,0.36666666666666664,0.13333333333333333,0.31666666666666665,0.05
