model,n_points,pearson_r,p_value,mean_morality,mean_accuracy_rectified
gpt-4o,7,0.3115091880117594,0.4964461690673178,85.71108295788987,71.32106002418895
gpt-5,10,0.8430120427916519,0.002188727813931264,84.49223838843903,71.24310134310134
o3-mini,7,0.43776042837962625,0.32594633119031635,86.00790590213714,77.4162031780523
gpt-4o-mini,5,0.26114645987184226,0.6713169346324288,83.531538374235,73.5479662124927
gpt-5-mini,6,0.84609368988205,0.03370792733778876,86.69316207312745,81.09445545609216
o4-mini,6,-0.08150253455212166,0.8780168951127961,84.00623492266213,75.5913125639292
